statistics_date,HKN,HCN,TNN,XAN,QJN,JBN,ZJN,IHN,JTN,TJN,TEN,MJN,MHN,IYN,GDN,VTN
20190425,10172640.0,118552.0,574813.0,47887.0,448774.0,1662606.0,136156.0,61.0,92.0,10046.0,0.0,207.8,536.1,85.0,103601.0,0.0
20190426,11212273.0,125089.0,885423.0,32214.0,416336.0,1803574.0,138856.0,207.0,81.0,10714.0,0.0,208.1,614.8,203.0,111475.0,0.0
20190427,10383010.0,130305.0,558838.0,31930.0,440464.0,1652235.0,136770.0,105.0,146.0,10244.0,0.0,182.7,657.4,90.0,105438.0,0.0
20190428,11090254.0,113067.0,581010.0,31884.0,400638.0,1594068.0,129175.0,51.0,50.0,11258.0,0.0,476.2,726.6,91.0,95913.0,0.0
20190429,12048103.0,124774.0,611478.0,38768.0,451381.0,1710469.0,142703.0,222.0,82.0,14714.0,0.0,322.2,534.9,138.0,103588.0,0.0
20190430,18336581.0,188178.0,822990.0,38293.0,542142.0,2348435.0,163039.0,210.0,223.0,12297.0,10.0,231.3,1649.8,471.0,172529.0,0.0
20190501,19402465.0,329589.0,951954.0,48834.0,660664.0,2909579.0,194490.0,256.0,682.0,16702.0,0.0,555.5,1122.6,614.0,197334.0,0.0
20190502,11858127.0,163614.0,911964.0,80390.0,634385.0,1817859.0,178904.0,133.0,271.0,15979.0,0.0,1041.8,1938.7,526.0,157972.0,0.0
20190503,13518997.0,230953.0,1378842.0,109671.0,903185.0,2462260.0,225441.0,311.0,246.0,16614.0,0.0,704.6,2527.8,828.0,172444.0,0.0
20190504,18759488.0,227056.0,1051726.0,107332.0,732549.0,2310491.0,198807.0,216.0,282.0,15164.0,0.0,713.1,2516.0,1171.0,172244.0,0.0
20190505,15312517.0,221333.0,1237808.0,78173.0,803942.0,2620354.0,211387.0,229.0,64.0,15324.0,0.0,396.1,1698.3,493.0,171502.0,0.0
20190506,13073835.0,163853.0,1008868.0,62454.0,657679.0,2285160.0,198064.0,85.0,61.0,11449.0,0.0,588.3,829.1,249.0,11754.0,0.0
20190507,10240339.0,150102.0,798297.0,45081.0,527690.0,1951851.0,168131.0,130.0,33.0,10489.0,0.0,338.5,643.8,155.0,2432.0,0.0
20190508,9263632.0,133132.0,785738.0,43306.0,524836.0,1801418.0,158884.0,62.0,50.0,10375.0,0.0,236.9,557.4,139.0,100741.0,0.0
20190509,9220386.0,133564.0,630585.0,30023.0,465135.0,1640083.0,129537.0,74.0,199.0,10146.0,0.0,162.6,479.3,36.0,98401.0,0.0
20190510,11514159.0,146687.0,725170.0,33049.0,514106.0,1769040.0,148142.0,411.0,512.0,9575.0,0.0,96.6,708.3,135.0,112144.0,0.0
20190511,9371301.0,130530.0,582611.0,34712.0,428488.0,1627155.0,139230.0,92.0,96.0,12052.0,0.0,192.5,1228.7,143.0,119724.0,0.0
20190512,10926238.0,136096.0,704372.0,45979.0,551541.0,1846635.0,155278.0,197.0,171.0,11966.0,0.0,96.6,1213.6,821.0,128793.0,0.0
20190513,10125509.0,144198.0,745736.0,38541.0,532358.0,1827325.0,160834.0,131.0,180.0,13054.0,16.0,145.2,826.8,143.0,125481.0,0.0
20190514,9016460.0,113032.0,619398.0,29178.0,476758.0,1573837.0,139581.0,37.0,73.0,11141.0,0.0,360.5,732.6,127.0,91653.0,0.0
20190515,9198562.0,114308.0,608440.0,30956.0,442291.0,1568069.0,133500.0,49.0,69.0,10694.0,0.0,319.6,601.1,114.0,90665.0,0.0
20190516,9298340.0,119836.0,704411.0,43923.0,436367.0,1563279.0,119193.0,217.0,92.0,11522.0,16.0,194.3,892.9,77.0,95370.0,0.0
20190517,11803188.0,152801.0,633523.0,37448.0,498063.0,1840026.0,154925.0,292.0,67.0,10267.0,0.0,333.7,762.7,251.0,122532.0,0.0
20190518,10127813.0,141902.0,655456.0,38050.0,495755.0,1750470.0,147473.0,234.0,198.0,11306.0,0.0,194.3,795.5,172.0,125488.0,0.0
20190519,12107418.0,136643.0,788736.0,37389.0,588515.0,1869270.0,156677.0,217.0,203.0,15851.0,0.0,399.1,1371.3,748.0,127129.0,0.0
20190520,11020346.0,144557.0,775651.0,41509.0,562097.0,1833103.0,141172.0,186.0,128.0,12110.0,0.0,296.2,723.7,86.0,133923.0,0.0
20190521,9541823.0,129940.0,803477.0,41427.0,477905.0,1656550.0,145750.0,149.0,58.0,11326.0,0.0,269.9,508.9,160.0,112777.0,0.0
20190522,9320060.0,122621.0,632068.0,29870.0,447410.0,1610435.0,127885.0,191.0,57.0,9690.0,0.0,212.4,750.6,71.0,97273.0,0.0
20190523,9492624.0,107501.0,626922.0,35048.0,403199.0,1677203.0,139146.0,61.0,65.0,11207.0,0.0,211.1,605.7,121.0,96525.0,0.0
