20190812,15969243,230220,1142893,68799,847220,2455745,213325,119,165,15201,0,378.8,1075,105,144762,0
20190813,13410430,217873,1077811,48163,744184,2347443,191232,107,58,14451,0,378.8,1265.6,178,110586,0
20190814,12750025,207264,981522,42181,689771,2070059,205946,132,40,12426,0,222.8,704.4,106,100907,0
20190815,12574373,184496,975998,49013,712350,2227081,178243,109,433,13428,0,316.4,544.7,78,106778,0
20190816,15237147,218336,1076711,54582,746070,2281454,198936,333,134,12002,0,516.1,1118.7,269,135650,0
20190817,14701239,193695,979018,50804,660004,2287725,193468,183,5,14545,0,449.4,1475.6,238,144012,0
20190818,14492579,185846,930555,62147,716134,2201811,186912,216,107,17982,0,604.6,1226.1,1059,149001,0
20190819,14057333,181846,1063635,61837,751222,2316303,221230,78,53,16105,0,224.2,1006.6,221,141039,0
20190820,13095368,218107,992814,50948,699845,2235409,197575,82,66,14685,0,184.3,816.5,151,124032,0
20190821,13007940,185348,948929,44180,661442,2118168,197060,287,54,13271,0,250,891.3,178,112781,0
20190822,12596257,167874,878673,51714,641829,2023591,172567,73,156,12766,0,378,1088.3,162,108276,0
20190823,14179137,169015,974667,58396,655110,2168070,203131,522,142,10404,0,588.9,918.5,304,142699,0
20190824,13833411,187340,931296,51276,662050,2145968,187506,114,142,14675,0,476,1036.9,140,147558,0
20190825,14035588,177782,947800,58535,668149,2009194,184716,320,219,17459,0,393.5,1659.4,756,150845,0
20190826,12784551,167666,965096,50043,675945,2065404,191185,590,35,17211,0,437.2,1091.9,248,140421,0
20190827,11713271,162538,848545,45891,635763,2043946,190064,114,387,15094,0,198.1,1305.8,124,112857,0
20190828,11830189,149893,876051,48127,615053,1916102,161187,581,184,13396,0,477.9,887.9,116,113633,0
20190829,11596715,154812,794992,54284,605228,1884476,172541,422,82,14044,0,198,1183.2,221,116171,0
20190830,12624682,165497,806705,51588,626865,2063365,167876,366,132,12674,0,891.5,2080.2,377,168996,0
20190831,11590076,170509,912066,60247,635785,2082588,184093,134,120,16630,0,352.9,1722.6,552,190129,0
20190901,11896251,140950,766675,62355,534770,1800765,158805,266,87,21463,0,688.1,1975.4,673,159960,0
20190902,10291501,148344,1048508,69847,620940,1868573,175383,59,90,20021,0,293.7,946.1,103,126013,0
20190903,9621103,143553,977574,46510,568467,1772596,155555,159,93,11868,0,401.6,771.8,172,105497,0
20190904,9556861,117780,840666,48497,537890,1753892,138990,36,66,10293,141,698.7,564.4,133,112511,0
20190905,9968661,120704,746241,41273,543833,1873440,137776,48,95,12922,0,372.3,538.4,35,112919,0
20190906,11160444,128537,730923,43449,539596,1853362,138810,308,108,11031,0,225.8,601.9,264,143370,0
20190907,9848545,114026,677793,41028,474957,1763009,149123,81,135,15717,0,334.1,1390.1,186,164318,0
20190908,11288350,120589,758011,44107,495638,1780338,145448,330,207,17499,10,487.1,1506.5,788,153643,0
20190909,9965602,135868,753011,38910,521651,2006326,150858,146,17,21060,11,236,559.9,87,131642,0
20190910,8705913,119036,662062,34657,457060,1456084,140316,22,64,16107,11,276.3,241.9,46,111504,0
20190911,9089729,111435,621910,28764,429432,1472198,117562,49,126,12686,0,370.6,497,17,89782,0
20190912,12909932,132814,616331,34712,480050,1785687,149101,290,202,12823,0,431.3,847.3,204,119650,0
20190913,11914716,112039,530989,34001,347387,1452672,124799,97,226,16460,0,1094.2,1738,348,162426,0
20190914,6734543,130690,733942,55534,468304,1528356,157736,223,153,26305,0,1042,2943.8,959,165992,0
20190915,12843001,177065,1030633,88363,663303,2271597,190976,806,155,17657,10,395.5,2234.7,1353,178101,0
20190916,11746677,152948,940328,53372,675857,2270026,213910,17,86,16248,20,496.5,1356.9,240,171101,0
20190917,9257968,121612,659522,26065,485567,1621204,159238,72,46,15117,0,183.2,685.4,300,102102,0
20190918,9131025,117352,614462,35259,452042,1564863,133031,39,99,10054,0,100.4,796.4,141,98883,0
20190919,8932378,96767,547970,26420,384722,1490384,156118,248,107,11790,0,119.9,935.9,102,94391,0
20190920,10141078,111320,574933,30590,444763,1677948,143996,126,34,11651,0,227.2,602.9,305,116618,0
